step,cells_count,hierarchy_depth,agents_time,per_cell,per_level
85,5,1,0.6783413887023926,0.13566827774047852,0.6783413887023926
86,5,1,0.6792440414428711,0.1358488082885742,0.6792440414428711
87,5,1,0.5885322093963623,0.11770644187927246,0.5885322093963623
88,5,1,0.6839799880981445,0.1367959976196289,0.6839799880981445
89,5,1,0.5833091735839844,0.11666183471679688,0.5833091735839844
90,5,1,0.6777141094207764,0.13554282188415528,0.6777141094207764
91,5,1,0.5833320617675781,0.11666641235351563,0.5833320617675781
92,5,1,0.6772961616516113,0.13545923233032225,0.6772961616516113
93,5,1,0.6807904243469238,0.13615808486938477,0.6807904243469238
94,5,1,0.5885117053985596,0.11770234107971192,0.5885117053985596
95,5,1,0.6789736747741699,0.135794734954834,0.6789736747741699
96,5,1,0.5871469974517822,0.11742939949035644,0.5871469974517822
