step,cells_count,hierarchy_depth,agents_time
177,5,1,2.5764479637146
178,5,1,2.7166647911071777
179,5,1,2.5702269077301025
180,5,1,2.816673755645752
181,5,1,2.705389976501465
182,5,1,2.5685689449310303
183,5,1,2.561847925186157
184,5,1,2.703228235244751
185,5,1,2.5427019596099854
186,5,1,2.543831348419189
187,5,1,2.737523317337036
188,5,1,2.671633243560791
189,5,1,2.623785972595215
190,5,1,2.506263732910156
191,5,1,2.5272111892700195
192,5,1,2.653308629989624
1,5,1,2.510282516479492
2,5,1,1.7539780139923096
3,5,1,2.5047767162323
4,5,1,2.5132739543914795
5,5,1,2.5275144577026367
6,5,1,2.4885270595550537
7,5,1,2.522977352142334
8,5,1,2.61037015914917
9,5,1,2.518879175186157
10,5,1,2.5131332874298096
11,5,1,2.512736320495605
12,5,1,2.6383168697357178
13,5,1,2.545618772506714
14,5,1,2.504002571105957
15,5,1,2.641907930374145
16,5,1,2.509592056274414
17,5,1,2.5007078647613525
18,5,1,2.5044105052948
19,5,1,2.6353230476379395
20,5,1,2.542091131210327
21,5,1,2.5172924995422363
22,5,1,2.6282780170440674
23,5,1,2.5218820571899414
24,5,1,2.5026748180389404
25,5,1,2.633711814880371
26,5,1,2.507876396179199
27,5,1,2.536259889602661
28,5,1,2.53666615486145
29,5,1,2.6437809467315674
30,5,1,2.536519765853882
31,5,1,2.582303285598755
32,5,1,2.494077205657959
33,5,1,2.621250867843628
34,5,1,2.59815526008606
35,5,1,2.538867235183716
36,5,1,2.528739213943481
37,5,1,2.705133438110352
38,5,1,2.561366558074951
39,5,1,2.567342758178711
40,5,1,2.618257522583008
41,5,1,2.5016188621521
42,5,1,2.497833728790283
43,5,1,2.610138416290283
44,5,1,2.5023910999298096
45,5,1,2.534243583679199
46,5,1,2.584566593170166
47,5,1,2.705095052719116
48,5,1,2.579599142074585
49,5,1,2.5722453594207764
50,5,1,2.5543620586395264
51,5,1,2.6132168769836426
52,5,1,2.530775547027588
53,5,1,2.501750469207764
54,5,1,2.625168800354004
55,5,1,2.5045132637023926
56,5,1,2.5436408519744877
57,5,1,2.63464903831482
58,5,1,2.534607172012329
59,5,1,2.507673978805542
60,5,1,2.5003409385681152
61,5,1,2.6151859760284424
62,5,1,2.507303476333618
63,5,1,2.5523202419281006
