cells_count,hierarchy_depth,sim_time
15,4,2863.6608216762543
15,4,2873.3870029449463
15,5,2967.1726784706116
15,5,2977.3561623096466
15,5,2988.4536674022675
15,5,3029.1573615074158
15,5,3248.1872367858887
15,6,3298.964144229889
15,6,3330.836562871933
15,6,3353.140209674835
15,6,3324.2243502140045
15,6,3417.4200558662415
15,7,3323.730209350586
15,7,3228.3474175930023
15,7,3217.159453868866
15,7,3185.3116402626038
15,7,3179.628615140915
15,8,3343.983075618744
15,8,3345.1791756153107
15,8,3346.1489930152893
15,8,3311.6672830581665
15,8,3321.227422952652
15,9,3505.3926277160645
15,9,3432.7282807826996
15,9,3420.938057899475
15,9,3414.6825907230377
15,9,3416.484714984894
15,10,3563.65278673172
15,10,3539.271743297577
15,10,3635.121559381485
15,10,3551.355775117874
15,10,3667.3726468086243
20,1,4599.027643203735
20,1,4485.793974161148
20,1,4556.111871242523
20,1,4591.622119426727
20,1,4584.106826543808
20,2,4125.9151430130005
20,2,4143.928624868393
20,2,4138.176861286163
20,2,4110.827069044113
20,2,4126.93559718132
20,3,4192.866798400879
20,3,4159.4249312877655
20,3,4143.835141420364
20,3,4149.008248090744
20,3,4163.509779930115
20,4,4328.960655212402
20,4,4277.64688706398
20,4,4258.643057107925
20,4,4262.42525100708
20,4,4351.9456696510315
20,5,4853.546945810318
20,5,4667.722061395645
20,5,4736.1577978134155
20,5,4652.694518327713
20,5,4545.046690225601
20,6,4558.884373664856
20,6,4586.253162384033
20,6,4568.871702194214
20,6,4608.981828689575
20,6,4539.143885374069
20,7,4753.456792116165
20,7,3598.791228055954
20,7,3238.5076611042023
20,7,3233.6743834018707
20,7,3208.5003798007965
20,8,3304.8351516723633
20,8,3353.3093173503876
20,8,3315.0086929798126
20,8,3355.8653905391693
20,8,3299.858870983124
20,9,3417.1220955848694
20,9,3420.4102807044983
20,9,3453.5767097473145
20,9,3405.960631132126
20,9,3417.953133583069
20,10,3533.4683747291565
20,10,3525.7741963863373
20,10,3535.977845430374
20,10,3549.577163696289
20,10,3523.74923992157
25,1,3953.0518860816956
25,1,3963.97686624527
25,1,4054.3686368465424
25,1,3956.5415182113647
25,1,3975.2309823036194
25,2,3865.969614505768
25,2,3915.69672703743
25,2,3805.9638347625732
25,2,3817.612552165985
25,2,3956.6063470840454
25,3,3954.2596352100372
25,3,3920.3186168670654
25,3,3977.391345024109
25,3,3966.440797805786
25,3,3975.2345864772797
25,4,4084.594064950943
25,4,4082.797363758087
25,4,4064.942322254181
25,4,4033.6624069213867
25,4,4080.211267232895
25,5,4217.353356838226
25,5,4161.836535453796
25,5,4178.401082515717
25,5,4222.294123888016
25,5,4222.901529550552
25,6,4337.113217830658
25,6,4369.115827798843
25,6,4342.6479914188385
25,6,4357.238503217697
25,6,4382.792643547058
25,7,4536.638211965561
25,7,4518.702193260193
25,7,4479.60702753067
25,7,4501.935683250427
25,7,4542.240463972092
25,8,4652.7624089717865
25,8,4665.102122545242
25,8,4661.257996797562
25,8,4653.300633192062
25,8,4700.1555552482605
